handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
shawnsadstrum,A3APKUC67F9IMW,Private,Public,0|100,2,TRUE,3
markcatt43,A22QD6M0A2C77C,Public,Public,0|100,5,TRUE,22
MinnesotaHammer,AEF74ZYJTTEIA,Public,Public,0|100,17,TRUE,37
anthmorales83,A610SH5RY1NG1,Public,Public,0|100,20,TRUE,163
SW_Amateurs,A3VKJDDU7MMUVD,Public,Public,100|200,252,TRUE,600
SamanthaU22,AMTTB8JUWRRM7,Public,Public,0|100,9,TRUE,3
Jesicu_,ABMX8XUNPR3Lp,Public,Public,1000|999999,1420,TRUE,13609
blmpclrk,A2M3KQ9CKP7YW,Public,Public,0|100,19,TRUE,45
kristen1822,A1JO6AY55FG7QU,Public,Public,200|300,226,TRUE,679
NoviceMadman,A36KQFLIXQTAQ,Public,Public,0|100,1,TRUE,16
Jed_McDanie,A34BX72ZUITSW3,Public,Public,0|100,12,TRUE,44
getarhero,A25PFSORDO3SWQ,Public,Public,0|100,3,TRUE,37
albert,A1I5YNJ60UATA4,Public,Public,400|500,354,TRUE,53
DarkRyuu,A1WL3NZ50YEOWP,Public,Public,0|100,9,TRUE,3963
ladyrocerinx,AI57RR8OF4MR7,Public,Public,400|500,443,TRUE,17951
TESSIEILLEST,A3NYUZFBZTCUFK,Private,Public,0|100,59,TRUE,846
ReboundsMom,A1CE2XPYCDRHVZ,Public,Public,500|600,514,TRUE,3653
CodeAndLonely,A319HGTKM0UY0V,Public,Public,600|700,798,TRUE,1233
redgeishere,AZTHBV93S8U3T,Public,Public,200|300,273,TRUE,6873
soul4hymn,A18QU0YQB6Q8DF,Public,Public,0|100,6,TRUE,45
blacksheepPHD_,test234,Public,Public,0|100,5,TRUE,183
matt_matb321,A2VBSFSJXLZZ7A,Public,Public,0|100,10,TRUE,282
nickburian,A1KFUXSVGSHL5Z,Private,Public,0|100,26,TRUE,300
Xethalys,A2PMT4061B1NDP,Public,Public,0|100,25,TRUE,25
egloskerry,A2ORPKVJKI0EIO,Public,Public,0|100,0,TRUE,1
Timothy_hoss,A35NEL9WYU3VG8,Public,Public,0|100,14,TRUE,1740
francie41,A1NLW5ZS2WQR35,Public,Public,0|100,4,TRUE,1
robinkinsley,A1P6OXEJ86HQRM,Public,Public,0|100,11,TRUE,44
MlleMimi,A2NGMLBFZ3YQP5,Public,Public,0|100,28,TRUE,483
238943,A234SQAJKIG8VD,Public,Public,0|100,5,TRUE,3
sarinmt,A1SX8IVV82M0LW,Public,Public,I do not wish to disclose this information.,6,TRUE,40
shayitp,A3U6IA3JUSFZ2M,Public,Public,200|300,245,TRUE,9666
BbbbbJimmy,A2QWTQ4I70BRWO,Public,Public,0|100,3,TRUE,6
ceylove,A1WR3WTEHJEY2D,Public,Public,0|100,27,TRUE,73
limpbizquick8,A2YGAEODJ5SSF6,Public,Public,0|100,55,TRUE,257
